claim_id,source_id,category,claim_text,geographic_scope,name_as_reported,source_quality,caution,claim_category,community_as_reported,evidence_directness,verification_status,dataset_version
HCLM0013,HS0007,chemistry,"The study reported lactic acid 17.63 mg/g, acetic acid 0.18 mg/g and peak phytase activity 18.93 U/g at day 4.",West Bengal,Haria,High,Study-specific.,chemistry,NR,direct,verified,1.0.0
HCLM0014,HS0008,microbiology,"From 29 Bankura Haria samples, 45 dominant bacterial isolates were purified; Bifidobacterium sp. MKK4, Pediococcus lolli MKK21 and Lactobacillus sp. MKK37 were shortlisted.","Bankura, West Bengal",Haria,High,Primary laboratory evidence.,microbiology,NR,direct,verified,1.0.0
HCLM0015,HS0009,microbiology,Lactobacillus fermentum TIU19 isolated from Haria showed in-vitro antibacterial and antibiofilm properties in the study.,West Bengal,Haria,High,In-vitro only.,microbiology,NR,direct,verified,1.0.0
HCLM0016,HS0010,diet/culture,An Oraon Jharkhand food study lists Hadiya as an alcoholic fermented rice preparation obtained from home or market.,Jharkhand,Hadiya,High,Community nutrition context.,diet/culture,NR,direct,verified,1.0.0
HCLM0017,HS0011,nutrition,"A study reported raw Handia values: carbohydrate 55 mg/100 ml, glucose 10.2 mg/100 ml, protein 162 mg/100 ml, fat 5.6 mg/100 ml and alcohol 11.3%.",West Bengal,Handia,High,Raw/before dilution; not equivalent to consumable diluted beverage.,nutrition,NR,direct,verified,1.0.0
HCLM0018,HS0012,culture,Jharkhand Government's Sarhul page states Handia is distributed as prasad during Sarhul.,Jharkhand,Handia,High,Official cultural description.,culture,NR,direct,verified,1.0.0
HCLM0019,HS0013,culture,Khunti district's official page describes rice beer in Munda festival contexts including Karam and Sohrai.,"Khunti, Jharkhand",rice beer,High,Official district description.,culture,NR,direct,verified,1.0.0
HCLM0020,HS0014,policy,Phulo Jhano supports women leaving hadiya/local-liquor production and sale for alternative livelihoods.,Jharkhand,हड़िया,High,Critical policy context.,policy,NR,direct,verified,1.0.0
HCLM0021,HS0015,policy,"A government review reported 16,549 women identified and 7,175 connected to the campaign at that reporting time.",Jharkhand,हड़िया,High,"Historical, date-specific figure.",policy,NR,direct,verified,1.0.0
HCLM0022,HS0016,law,"Jharkhand excise law defines pachwai as fermented rice, millet or other grain and liquid obtained from it.",Jharkhand,pachwai,High,Legal terminology.,law,NR,direct,verified,1.0.0
HCLM0023,HS0017,regulation,FSSAI lists Handia as rice + ranu and Haria as rice + bhakar/dabai/mod pitha in the 2025 amendment annexure.,India,Handia; Haria,High,Regulatory naming; does not prove identity/equivalence.,regulation,NR,direct,verified,1.0.0
HCLM0024,HS0018,ethnobotany,A northern Odisha study reported 20 plant species used for Handia ranu/bakhar starter.,Northern Odisha,Handia,High,"Comparative, not Jharkhand-specific.",ethnobotany,NR,direct,verified,1.0.0
HCLM0025,HS0019,ethnobotany,A West Bengal Santal Bakhar study documented 10 plant species plus one lichen.,West Bengal,Haria,High,Comparative evidence.,ethnobotany,NR,direct,verified,1.0.0
HCLM0026,HS0019,nutrition,The study reported homemade Haria ascorbic acid 15.40 mg/100 ml and flavonoids 36.67 mg/100 ml.,West Bengal,Haria,High,Study-specific.,nutrition,NR,direct,verified,1.0.0
HCLM0027,HS0023,chemistry,"A 2026 Mayurbhanj Handia study used FTIR, GC-MS and ICP-OES and reported essential minerals and aroma-related compounds.","Mayurbhanj, Odisha",Handia,High,Comparative modern analytical evidence.,chemistry,NR,direct,verified,1.0.0
HCLM0028,HS0023,safety,The 2026 Mayurbhanj study reported trace lead and copper in its urban Handia sample.,"Mayurbhanj, Odisha",Handia,High,Sample-specific.,safety,NR,direct,verified,1.0.0
HCLM0029,HS0024,metabolomics,"A 2025 North Dinajpur Haria study detected 60 HR-LCMS compounds, 37 identified.","North Dinajpur, West Bengal",Haria,High,Modern metabolomics evidence.,metabolomics,NR,direct,verified,1.0.0
HCLM0030,HS0024,safety,"The study reported Mipafox/N,N'-diethylthiourea signals and Enterobacter sp.","North Dinajpur, West Bengal",Haria,High,Study-specific safety signal.,safety,NR,direct,verified,1.0.0
HCLM0031,HS0025,variation,A Jharkhand community-facing account describes household variation in Ranu ingredient numbers/composition.,Jharkhand,Handiya,Medium,"Public/community source, not lab evidence.",variation,NR,direct,verified,1.0.0
HCLM0032,HS0026,,A Paschim Medinipur study reports 18 plant species used as ingredients of Bakhar tablets for Haria/Handia preparation.,"Paschim Medinipur, West Bengal",Handia or Haria,High,Comparative evidence outside Jharkhand; does not define Jharkhand Ranu composition.,ethnobotany,tribal groups (source wording),direct,verified,1.0.0
HCLM0033,HS0026,,The same Bakhar study reports that 14 of the 18 documented starter plants were also used by local medicine men in folk medicine.,"Paschim Medinipur, West Bengal",Haria,High,"Ethnomedicinal use is a cultural report, not clinical efficacy evidence.",ethnomedicine,tribal groups (source wording),direct,verified,1.0.0
HCLM0034,HS0027,,A Handia starter-plant study used interviews with 24 informants from 24 locations and laboratory phytochemical and antibacterial assays against enteric pathogens.,Odisha,Handia,High,Comparative evidence outside Jharkhand; laboratory activity is not clinical evidence.,laboratory,NR,direct,verified,1.0.0
